"2019 Poverty and Median Household Income Estimates - Counties, States, and National
Source:  U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program
Release date:  December 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Information,,,,All Ages,,,,,,Age 0-17,,,,,,Age 5-17 in Families,,,,,,Median Household Income,,,Age 0-4,,,,,
Postal Code,CA County,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,,
CA,California,"4,560,419","4,509,811","4,611,027",11.8,11.7,11.9,"1,363,913","1,335,622","1,392,204",15.6,15.3,15.9,"969,127","944,427","993,827",15.2,14.8,15.6,"80,423","80,110","80,736","362,735","349,016","376,454",15.7,15.1,16.3,,
CA,Alameda County,"146,315","135,008","157,622",8.9,8.2,9.6,"32,720","28,023","37,417",9.8,8.4,11.2,"22,189","18,330","26,048",9.2,7.6,10.8,"107,589","105,354","109,824",.,.,.,.,.,.,,
CA,Alpine County,193,145,241,17.2,13.0,21.4,58,40,76,29.6,20.3,38.9,38,25,51,25.5,16.6,34.4,"58,112","50,969","65,255",.,.,.,.,.,.,,
CA,Amador County,"3,462","2,620","4,304",9.8,7.4,12.2,737,495,979,12.5,8.4,16.6,514,329,699,12.0,7.7,16.3,"62,640","58,769","66,511",.,.,.,.,.,.,,
CA,Butte County,"34,503","30,323","38,683",16.1,14.2,18.0,"6,997","5,071","8,923",16.1,11.7,20.5,"4,767","3,340","6,194",15.1,10.6,19.6,"58,394","54,390","62,398",.,.,.,.,.,.,,
CA,Calaveras County,"5,477","4,255","6,699",12.1,9.4,14.8,"1,479","1,089","1,869",19.6,14.4,24.8,"1,055",757,"1,353",19.1,13.7,24.5,"68,248","61,762","74,734",.,.,.,.,.,.,,
CA,Colusa County,"2,554","2,066","3,042",12.0,9.7,14.3,881,658,"1,104",15.3,11.4,19.2,586,409,763,13.7,9.5,17.9,"59,048","52,756","65,340",.,.,.,.,.,.,,
CA,Contra Costa County,"90,482","81,216","99,748",7.9,7.1,8.7,"25,256","21,329","29,183",9.9,8.4,11.4,"17,830","14,898","20,762",9.3,7.8,10.8,"106,555","103,354","109,756",.,.,.,.,.,.,,
CA,Del Norte County,"4,445","3,261","5,629",17.9,13.1,22.7,"1,454",981,"1,927",25.8,17.4,34.2,"1,003",642,"1,364",23.8,15.2,32.4,"48,979","43,919","54,039",.,.,.,.,.,.,,
CA,El Dorado County,"16,649","14,268","19,030",8.7,7.5,9.9,"3,418","2,600","4,236",9.1,6.9,11.3,"2,244","1,623","2,865",7.8,5.6,10.0,"86,202","81,001","91,403",.,.,.,.,.,.,,
CA,Fresno County,"200,873","188,411","213,335",20.5,19.2,21.8,"80,569","73,918","87,220",29.0,26.6,31.4,"58,356","53,660","63,052",28.8,26.5,31.1,"56,926","54,617","59,235",.,.,.,.,.,.,,
CA,Glenn County,"3,397","2,503","4,291",12.1,8.9,15.3,"1,347",903,"1,791",18.1,12.1,24.1,953,615,"1,291",17.4,11.2,23.6,"55,682","49,829","61,535",.,.,.,.,.,.,,
CA,Humboldt County,"25,136","22,243","28,029",19.1,16.9,21.3,"5,120","3,952","6,288",20.5,15.8,25.2,"3,752","2,852","4,652",20.8,15.8,25.8,"51,134","47,446","54,822",.,.,.,.,.,.,,
CA,Imperial County,"38,020","32,901","43,139",22.0,19.0,25.0,"15,633","13,074","18,192",30.7,25.7,35.7,"10,447","8,453","12,441",28.5,23.1,33.9,"48,102","45,177","51,027",.,.,.,.,.,.,,
CA,Inyo County,"2,071","1,606","2,536",11.7,9.1,14.3,567,385,749,15.4,10.5,20.3,391,254,528,14.5,9.4,19.6,"59,605","53,169","66,041",.,.,.,.,.,.,,
CA,Kern County,"164,817","150,998","178,636",19.0,17.4,20.6,"66,306","59,182","73,430",26.0,23.2,28.8,"49,201","43,943","54,459",26.3,23.5,29.1,"53,245","51,116","55,374",.,.,.,.,.,.,,
CA,Kings County,"21,840","18,284","25,396",16.0,13.4,18.6,"9,088","7,446","10,730",22.3,18.3,26.3,"6,003","4,753","7,253",20.5,16.2,24.8,"57,297","53,359","61,235",.,.,.,.,.,.,,
CA,Lake County,"11,622","9,453","13,791",18.3,14.9,21.7,"3,340","2,418","4,262",25.2,18.2,32.2,"2,345","1,687","3,003",24.7,17.8,31.6,"46,897","43,418","50,376",.,.,.,.,.,.,,
CA,Lassen County,"3,789","2,926","4,652",16.5,12.7,20.3,772,526,"1,018",15.0,10.2,19.8,508,329,687,13.8,8.9,18.7,"53,613","49,328","57,898",.,.,.,.,.,.,,
CA,Los Angeles County,"1,319,242","1,280,878","1,357,606",13.4,13.0,13.8,"385,475","367,258","403,692",18.3,17.4,19.2,"277,650","263,702","291,598",18.1,17.2,19.0,"72,721","72,077","73,365",.,.,.,.,.,.,,
CA,Madera County,"26,309","22,123","30,495",17.6,14.8,20.4,"11,023","8,988","13,058",26.1,21.3,30.9,"7,535","5,949","9,121",24.4,19.3,29.5,"61,105","56,926","65,284",.,.,.,.,.,.,,
CA,Marin County,"17,357","14,718","19,996",6.9,5.9,7.9,"3,621","2,737","4,505",7.2,5.5,8.9,"2,423","1,768","3,078",6.2,4.5,7.9,"112,069","105,883","118,255",.,.,.,.,.,.,,
CA,Mariposa County,"2,565","2,023","3,107",15.1,11.9,18.3,598,422,774,21.9,15.4,28.4,442,304,580,22.0,15.1,28.9,"52,760","46,592","58,928",.,.,.,.,.,.,,
CA,Mendocino County,"11,980","9,907","14,053",14.0,11.6,16.4,"3,628","2,647","4,609",20.4,14.9,25.9,"2,304","1,534","3,074",17.9,11.9,23.9,"52,309","48,788","55,830",.,.,.,.,.,.,,
CA,Merced County,"46,011","38,982","53,040",17.0,14.4,19.6,"17,979","14,250","21,708",22.5,17.8,27.2,"13,177","10,506","15,848",22.4,17.9,26.9,"59,733","56,813","62,653",.,.,.,.,.,.,,
CA,Modoc County,"1,757","1,362","2,152",20.5,15.9,25.1,507,357,657,31.0,21.8,40.2,354,237,471,29.2,19.5,38.9,"45,311","40,289","50,333",.,.,.,.,.,.,,
CA,Mono County,"1,437","1,097","1,777",10.1,7.7,12.5,306,213,399,12.0,8.3,15.7,208,138,278,11.2,7.4,15.0,"66,226","58,152","74,300",.,.,.,.,.,.,,
CA,Monterey County,"52,484","46,226","58,742",12.6,11.1,14.1,"20,237","17,631","22,843",18.4,16.0,20.8,"13,825","11,957","15,693",17.1,14.8,19.4,"76,509","73,761","79,257",.,.,.,.,.,.,,
CA,Napa County,"9,897","7,877","11,917",7.4,5.9,8.9,"2,295","1,625","2,965",8.4,5.9,10.9,"1,596","1,082","2,110",7.7,5.2,10.2,"90,230","85,254","95,206",.,.,.,.,.,.,,
CA,Nevada County,"9,268","7,229","11,307",9.4,7.3,11.5,"2,242","1,594","2,890",13.5,9.6,17.4,"1,580","1,090","2,070",12.8,8.8,16.8,"69,550","63,962","75,138",.,.,.,.,.,.,,
CA,Orange County,"297,658","277,889","317,427",9.5,8.9,10.1,"84,854","75,682","94,026",12.6,11.2,14.0,"61,939","55,357","68,521",12.5,11.2,13.8,"95,761","94,655","96,867",.,.,.,.,.,.,,
